city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1.0,240.0,3.0,3.0,4.0,,1.0,1.0,0.0,8000.0,1000.0,121.0,9121.0
1.0,19.0,1.0,1.0,0.0,,0.0,0.0,0.0,1200.0,41.0,16.0,1257.0
0.0,188.0,2.0,3.0,8.0,,1.0,0.0,0.0,3010.0,584.0,46.0,3640.0
1.0,100.0,3.0,2.0,1.0,,1.0,0.0,0.0,3500.0,260.0,53.0,3813.0
1.0,155.0,3.0,3.0,2.0,,1.0,0.0,0.0,2650.0,233.0,40.0,2923.0
1.0,320.0,3.0,3.0,4.0,,1.0,0.0,0.0,9000.0,1000.0,136.0,10140.0
1.0,130.0,3.0,3.0,2.0,,1.0,0.0,0.0,6000.0,84.0,91.0,6175.0
1.0,120.0,3.0,1.0,4.0,,1.0,0.0,0.0,3500.0,234.0,53.0,3787.0
1.0,250.0,3.0,4.0,2.0,,1.0,0.0,300.0,3480.0,360.0,53.0,4193.0
1.0,250.0,4.0,4.0,2.0,,0.0,0.0,,6600.0,0.0,100.0,6700.0
1.0,180.0,3.0,4.0,5.0,,1.0,0.0,,3300.0,266.0,50.0,3616.0
1.0,340.0,3.0,4.0,3.0,,1.0,1.0,0.0,9800.0,392.0,148.0,10340.0
1.0,90.0,2.0,1.0,0.0,,0.0,0.0,0.0,1450.0,50.0,22.0,1522.0
0.0,650.0,5.0,4.0,8.0,,1.0,1.0,0.0,8500.0,442.0,128.0,9070.0
1.0,190.0,2.0,3.0,2.0,,1.0,0.0,0.0,13050.0,1284.0,197.0,14530.0
1.0,396.0,4.0,4.0,4.0,,1.0,0.0,0.0,10000.0,750.0,151.0,10900.0
1.0,90.0,2.0,2.0,0.0,,1.0,0.0,0.0,1700.0,38.0,26.0,1764.0
1.0,400.0,4.0,3.0,2.0,,1.0,0.0,0.0,5650.0,338.0,85.0,6073.0
1.0,220.0,3.0,3.0,5.0,,1.0,0.0,0.0,7500.0,0.0,113.0,7613.0
1.0,750.0,7.0,6.0,5.0,,1.0,1.0,0.0,5800.0,559.0,88.0,6447.0
1.0,20.0,1.0,1.0,0.0,,1.0,1.0,602.0,1800.0,130.0,23.0,2555.0
1.0,22.0,1.0,1.0,0.0,,0.0,0.0,250.0,1080.0,14.0,14.0,1358.0
1.0,180.0,3.0,2.0,4.0,,0.0,1.0,0.0,11000.0,667.0,166.0,11830.0
1.0,170.0,3.0,2.0,2.0,,1.0,1.0,0.0,3900.0,267.0,59.0,4226.0
1.0,250.0,6.0,2.0,2.0,,1.0,0.0,0.0,2472.0,26.0,38.0,2536.0
1.0,500.0,3.0,4.0,5.0,,1.0,1.0,0.0,7620.0,1094.0,115.0,8829.0
0.0,120.0,3.0,2.0,3.0,,1.0,0.0,0.0,2500.0,180.0,38.0,2718.0
0.0,265.0,3.0,3.0,2.0,,1.0,0.0,0.0,2400.0,140.0,37.0,2577.0
1.0,50.0,1.0,1.0,1.0,,1.0,0.0,0.0,1100.0,0.0,17.0,1117.0
1.0,80.0,2.0,2.0,2.0,,1.0,0.0,0.0,2465.0,0.0,38.0,2503.0
