,std_all,std_city_0,std_sity_1
,std,std,std
total,8751.347699984133,2961.4174812157034,9274.163738362899
property tax,6212.564538229901,215.06506866937235,6684.302035429274
hoa,4017.9067825718307,684.1206455596819,4314.056943391729
rent amount,3576.6689462284044,2415.683403552911,3638.7318724343986
area,375.5594852669572,455.13867268401407,361.39593313685765
fire insurance,49.31344114620117,34.80493871366769,50.21012738127343
floor,6.023027588459169,4.747404335352392,6.162515924347287
parking spaces,1.6119088446235275,1.5357520955567205,1.6228863898121197
bathroom,1.4388604845456925,1.4003837414806561,1.4383783202198226
rooms,1.1296645317963485,1.089993207665344,1.135106428479581
furniture,0.43877826223288346,0.3492578775839446,0.4485060241765546
animal,0.4225024295296016,0.398240370128299,0.4259861792276963
city,0.34353495771926323,0.0,0.0
