id,name,show_id,count,percent
1,A. L. Vijay,"80150390,81155784",2,0.029321213898255385
2,A. Salaam,80158479,1,0.014660606949127693
3,A.R. Murugadoss,"81016194,81072516,81075235",3,0.043981820847383085
4,Aadish Keluskar,81074367,1,0.014660606949127693
5,Aamir Bashir,70153553,1,0.014660606949127693
6,Aamir Khan,70087087,1,0.014660606949127693
7,Aanand Rai,"70176968,81005364",2,0.029321213898255385
8,Aaron Burns,80161232,1,0.014660606949127693
9,Aaron Hancox,81005561,1,0.014660606949127693
10,Aaron Hann,80070182,1,0.014660606949127693
11,Aaron Moorhead,80190449,1,0.014660606949127693
12,Aaron Nee,80064273,1,0.014660606949127693
13,Aaron Woolf,80144141,1,0.014660606949127693
14,Aatmaram Dharne,80238299,1,0.014660606949127693
15,Abba T. Makama,80208908,1,0.014660606949127693
16,Abbas Alibhai Burmawalla,"70021551,70096752,70229046,70229498,80079229",5,0.07330303474563847
17,Abbas Tyrewala,70089214,1,0.014660606949127693
18,Abby Epstein,81016247,1,0.014660606949127693
19,Abdellatif Kechiche,70275600,1,0.014660606949127693
20,Abdul Aziz Hashad,81035853,1,0.014660606949127693
21,Abdullah Al Noor,81048551,1,0.014660606949127693
22,Abel Ferrara,80044566,1,0.014660606949127693
23,Abhay Chopra,80164904,1,0.014660606949127693
24,Abhijit Kokate,81131274,1,0.014660606949127693
25,Abhinav Shiv Tiwari,80108386,1,0.014660606949127693
26,Abhinay Deo,"70152959,70181734,80159955",3,0.043981820847383085
27,Abhishek Chaubey,80118002,1,0.014660606949127693
28,Abhishek Kapoor,"70110883,70254346,80099083",3,0.043981820847383085
29,Abhishek Saxena,81213882,1,0.014660606949127693
30,Abhishek Sharma,"80023853,81005453,81213894",3,0.043981820847383085
31,Abhishek Varman,70303426,1,0.014660606949127693
32,Abu Bakr Shawky,81043190,1,0.014660606949127693
33,Adam Alleca,80065754,1,0.014660606949127693
34,Adam Bhala Lough,80998786,1,0.014660606949127693
35,Adam Carolla,"80158800,81218074",2,0.029321213898255385
36,Adam Collins,81026667,1,0.014660606949127693
37,Adam Darke,80191930,1,0.014660606949127693
38,Adam Davis,81037273,1,0.014660606949127693
39,Adam Del Giudice,81014345,1,0.014660606949127693
40,Adam Deyoe,70306701,1,0.014660606949127693
41,Adam Dubin,80043049,1,0.014660606949127693
42,Adam Egypt Mortimer,80096585,1,0.014660606949127693
43,Adam Larson Broder,80117736,1,0.014660606949127693
44,Adam Leon,80146759,1,0.014660606949127693
45,Adam MacDonald,80018336,1,0.014660606949127693
46,Adam Marino,81061410,1,0.014660606949127693
47,Adam McKay,70093991,1,0.014660606949127693
48,Adam Nee,80064273,1,0.014660606949127693
49,Adam Nimoy,80115102,1,0.014660606949127693
50,Adam Randall,80099016,1,0.014660606949127693
51,Adam Schlesinger,80173625,1,0.014660606949127693
52,Adam Shankman,"70065096,70100381",2,0.029321213898255385
53,Adam Sjöberg,80154179,1,0.014660606949127693
54,Adam Smith,80057509,1,0.014660606949127693
55,Adam Wingard,80122759,1,0.014660606949127693
56,Adam Wood,70130483,1,0.014660606949127693
57,Adarsh Eshwarappa,80188777,1,0.014660606949127693
58,Adele K. Thomas,81028574,1,0.014660606949127693
59,Adisorn Tresirikasem,81016044,1,0.014660606949127693
60,Aditya Kripalani,"81002213,81095399",2,0.029321213898255385
61,Aditya Sarpotdar,"80238400,81113926",2,0.029321213898255385
62,Aditya Vikram Sengupta,81038047,1,0.014660606949127693
63,Adrian Murray,80220531,1,0.014660606949127693
64,Adrian Teh,81031178,1,0.014660606949127693
65,Advait Chandan,80245408,1,0.014660606949127693
66,Adze Ugah,81172729,1,0.014660606949127693
67,Afia Nathaniel,80114155,1,0.014660606949127693
68,Afonso Poyart,80147513,1,0.014660606949127693
69,Agasyah Karim,81033201,1,0.014660606949127693
70,Agnidev Chatterjee,80218586,1,0.014660606949127693
71,Agustí Villaronga,80167460,1,0.014660606949127693
72,Ah Loong,80202376,1,0.014660606949127693
73,Ahishor Solomon,70295531,1,0.014660606949127693
74,Ahmad El-Badri,"81035866,81035869",2,0.029321213898255385
75,Ahmad Samir Farag,81035873,1,0.014660606949127693
76,Ahmed Al-Badry,81035847,1,0.014660606949127693
77,Ahmed El Gendy,81035887,1,0.014660606949127693
78,Ahmed Khaled Moussa,81026986,1,0.014660606949127693
79,Ahmed Zain,81158575,1,0.014660606949127693
80,Ahmet Katıksız,80176234,1,0.014660606949127693
81,Ahsan Rahim,81036338,1,0.014660606949127693
82,Aijaz Khan,81123050,1,0.014660606949127693
83,Aitor Arregi,80122177,1,0.014660606949127693
84,Ajay Bahl,70290904,1,0.014660606949127693
85,Ajay Bhuyan,80228321,1,0.014660606949127693
86,Ajay Phansekar,70006866,1,0.014660606949127693
87,Ajithkumar,81018233,1,0.014660606949127693
88,Akin Omotoso,80155792,1,0.014660606949127693
89,Akiva Goldsman,80242828,1,0.014660606949127693
90,Akiva Schaffer,"70058022,80151370,81036190",3,0.043981820847383085
91,Akiyuki Shinbo,81000505,1,0.014660606949127693
92,Akram Farouk,81035880,1,0.014660606949127693
93,Akshay Akkineni,70303429,1,0.014660606949127693
94,Alain Desrochers,"80131563,80161921",2,0.029321213898255385
95,Alain Gagnol,80063290,1,0.014660606949127693
96,Alan Hicks,80102952,1,0.014660606949127693
97,Alan J. Pakula,848915,1,0.014660606949127693
98,Alan Mak,70043379,1,0.014660606949127693
99,Alan Rickman,80017099,1,0.014660606949127693
100,Alana Waksman,80213400,1,0.014660606949127693
101,Alastair Fothergill,"70219642,70235731,70261978",3,0.043981820847383085
102,Alban Teurlai,80160358,1,0.014660606949127693
103,Albert Hughes,70114342,1,0.014660606949127693
104,Albert Sharpe,80988048,1,0.014660606949127693
105,Alberto Arnaut Estrada,81123826,1,0.014660606949127693
106,Alberto Rodríguez,80121843,1,0.014660606949127693
107,Alejandra Márquez Abella,80081958,1,0.014660606949127693
108,Alejandro Agresti,"70043303,80184661",2,0.029321213898255385
109,Alejandro Doria,70266171,1,0.014660606949127693
110,Alejandro Fernández Almendras,"80098709,81141694",2,0.029321213898255385
111,Alejandro G. Iñárritu,70045866,1,0.014660606949127693
112,Alejandro Lozano,80028965,1,0.014660606949127693
113,Alejandro Martinez-Beltran,80162246,1,0.014660606949127693
114,Alejandro Montiel,80245357,1,0.014660606949127693
115,Aleksandr Chernyaev,81218079,1,0.014660606949127693
116,Aleksey German,80990221,1,0.014660606949127693
117,Alessandro Angulo,"80035685,81196441",2,0.029321213898255385
118,Alessandro Pepe,80144119,1,0.014660606949127693
119,Alessio Cremonini,81001000,1,0.014660606949127693
120,Alethea Jones,80168234,1,0.014660606949127693
121,Alex Brewer,80063773,1,0.014660606949127693
122,Alex Burunova,81143771,1,0.014660606949127693
123,Alex Coletti,80108759,1,0.014660606949127693
124,Alex Díaz,81060096,1,0.014660606949127693
125,Alex Garland,80023689,1,0.014660606949127693
126,Alex Holmes,80007215,1,0.014660606949127693
127,Alex Infascelli,80172284,1,0.014660606949127693
128,Alex Israel,80192097,1,0.014660606949127693
129,Alex Law,80997859,1,0.014660606949127693
130,Alex Lehmann,"80104420,80117746,80224060",3,0.043981820847383085
131,Alex Merkin,81003460,1,0.014660606949127693
132,Alex Parkinson,80215139,1,0.014660606949127693
133,Alex Proyas,"408911,70095135",2,0.029321213898255385
134,Alex Richanbach,80195049,1,0.014660606949127693
135,Alex Smith,80173150,1,0.014660606949127693
136,Alex Stapleton,80244973,1,0.014660606949127693
137,Alex Timbers,80238110,1,0.014660606949127693
138,Alex Winter,80059432,1,0.014660606949127693
139,Alex Zamm,"80160759,80225034",2,0.029321213898255385
140,Alexander Nevsky,80164164,1,0.014660606949127693
141,Alexander Smith,81009829,1,0.014660606949127693
142,Alexandra Dean,80189827,1,0.014660606949127693
143,Alexandre Aja,70266677,1,0.014660606949127693
144,Alexandre Avancini,"80186829,80223271",2,0.029321213898255385
145,Alexandre Espigares,80245121,1,0.014660606949127693
146,Alexandre Heboyan,80125818,1,0.014660606949127693
147,Alexandre Reinecke,80144890,1,0.014660606949127693
148,Alexandros Avranas,80992769,1,0.014660606949127693
149,Alexis Morante,"80202810,80232891",2,0.029321213898255385
150,Alfonso Arau,701346,1,0.014660606949127693
151,Alfonso Cuarón,"60023237,70055221,80240715",3,0.043981820847383085
152,Alfonso Rodríguez,80235767,1,0.014660606949127693
153,Alfonso Serrano Maturino,80144311,1,0.014660606949127693
154,Alfred Gimeno,80020036,1,0.014660606949127693
155,Ali Bin Matar,80202605,1,0.014660606949127693
156,Ali F. Mostafa,80191513,1,0.014660606949127693
157,Ali Samadi Ahadi,80157797,1,0.014660606949127693
158,Ali Scher,80190146,1,0.014660606949127693
159,Ali Taner Baltacı,"80134524,80227119",2,0.029321213898255385
160,Alice Rohrwacher,81004245,1,0.014660606949127693
161,Alicky Sussman,81059649,1,0.014660606949127693
162,Alik Sakharov,80083594,1,0.014660606949127693
163,Alina Teodorescu,80059342,1,0.014660606949127693
164,Alison E. Rose,80167667,1,0.014660606949127693
165,Alison Klayman,"70229921,80117831",2,0.029321213898255385
166,Alison MacLean,80155790,1,0.014660606949127693
167,Alistair Legrand,"80041339,80096955",2,0.029321213898255385
168,Allan Ungar,80097221,1,0.014660606949127693
169,Allen Hughes,70114342,1,0.014660606949127693
170,Alma Har'el,80108613,1,0.014660606949127693
171,Alo Sarkar,80158388,1,0.014660606949127693
172,Alphonso J. Wesson,70053885,1,0.014660606949127693
173,Alê Abreu,80063617,1,0.014660606949127693
174,Amaan Khan,81002214,1,0.014660606949127693
175,Amal Neerad,80192548,1,0.014660606949127693
176,Amalie Næsby Fick,81016361,1,0.014660606949127693
177,Amanda Micheli,80195243,1,0.014660606949127693
178,Amar Gupte,80202905,1,0.014660606949127693
179,Amar Kaushik,81113921,1,0.014660606949127693
180,Amara Cash,81122669,1,0.014660606949127693
181,Amardeep Singh Gill,80228146,1,0.014660606949127693
182,Amarjit Virdi,81035398,1,0.014660606949127693
183,Amarpreet G S Chabbra,80032476,1,0.014660606949127693
184,Amber Tamblyn,80171291,1,0.014660606949127693
185,Amir Galvan Cervera,80161104,1,0.014660606949127693
186,Amir Mohiuddin,81014824,1,0.014660606949127693
187,Amit Barot,80238637,1,0.014660606949127693
188,Amit Rai,81217436,1,0.014660606949127693
189,Amit Roy,80175333,1,0.014660606949127693
190,Amit Saxena,81024729,1,0.014660606949127693
191,Amitabha Singh,81086640,1,0.014660606949127693
192,Amitava Bhattacharya,81018237,1,0.014660606949127693
193,Amitoj Mann,"80032474,80058851,81024704",3,0.043981820847383085
194,Amman Abbasi,80170870,1,0.014660606949127693
195,Amol Palekar,70039405,1,0.014660606949127693
196,Amr Arafa,"81035858,81035878",2,0.029321213898255385
197,Amshan Kumar,81063743,1,0.014660606949127693
198,Amy Poehler,80194950,1,0.014660606949127693
199,Amy Schumer,"80150002,81037077",2,0.029321213898255385
200,Ana Kokkinos,60000677,1,0.014660606949127693
201,Ana Lily Amirpour,80099204,1,0.014660606949127693
202,Ana Quiroga,80993684,1,0.014660606949127693
203,Anand Kamalakar,81191195,1,0.014660606949127693
204,Anand Tiwari,80227304,1,0.014660606949127693
205,Anand Tucker,70124331,1,0.014660606949127693
206,Ananda Krishnan,80245329,1,0.014660606949127693
207,Anant Balani,60036103,1,0.014660606949127693
208,Ananth Narayan Mahadevan,80201825,1,0.014660606949127693
209,Anatole Litvak,70013050,1,0.014660606949127693
210,Anders Falck,81002885,1,0.014660606949127693
211,Anders Sømme Hammer,80114498,1,0.014660606949127693
212,Andibachtiar Yusuf,81016338,1,0.014660606949127693
213,Andrea Arnold,80096782,1,0.014660606949127693
214,Andrea Molaioli,80160081,1,0.014660606949127693
215,Andreas Johnsen,80108610,1,0.014660606949127693
216,Andreas Pichler,80234791,1,0.014660606949127693
217,Andreas Prochaska,80141338,1,0.014660606949127693
218,Andrew Bujalski,80038442,1,0.014660606949127693
219,Andrew C. Erin,80132601,1,0.014660606949127693
220,Andrew Douglas,70021631,1,0.014660606949127693
221,Andrew Duncan,"80004286,80020131",2,0.029321213898255385
222,Andrew Fleming,"404067,60027701",2,0.029321213898255385
223,Andrew Goth,80169611,1,0.014660606949127693
224,Andrew J. Smith,80173150,1,0.014660606949127693
225,Andrew Jenks,80081990,1,0.014660606949127693
226,Andrew Lau Wai-Keung,"70043379,70126809,70216819,80017280",4,0.05864242779651077
227,Andrew Loo,80017280,1,0.014660606949127693
228,Andrew Meier,81001494,1,0.014660606949127693
229,Andrew Mogel,80036657,1,0.014660606949127693
230,Andrew Nackman,80087897,1,0.014660606949127693
231,Andrew Niccol,"80015799,80195964",2,0.029321213898255385
232,Andrew Renzi,80048200,1,0.014660606949127693
233,Andrew Sandler,80196216,1,0.014660606949127693
234,Andrew Slater,81034741,1,0.014660606949127693
235,Andrew Stanton,70143369,1,0.014660606949127693
236,Andrew Sullivan,80167644,1,0.014660606949127693
237,Andrew Tan,"80112370,81050118",2,0.029321213898255385
238,Andrew Wessels,81228864,1,0.014660606949127693
239,Andrzej Bartkowiak,60020892,1,0.014660606949127693
240,André D'Elia,81038976,1,0.014660606949127693
241,André Øvredal,80022613,1,0.014660606949127693
242,Andrés Beltrán,80220422,1,0.014660606949127693
243,Andrés Couturier,70124268,1,0.014660606949127693
244,Andy Caballero,81021098,1,0.014660606949127693
245,Andy Capper,70261178,1,0.014660606949127693
246,Andy Devonshire,80063224,1,0.014660606949127693
247,Andy Fickman,"70105369,80158976",2,0.029321213898255385
248,Andy Goddard,80134149,1,0.014660606949127693
249,Andy Serkis,80993105,1,0.014660606949127693
250,Andy Tennant,"60022502,70019506,70128696,80120740",4,0.05864242779651077
251,Anees Bazmee,"70187503,70198040,80204460,80223230,81213891",5,0.07330303474563847
252,Ang Lee,60002907,1,0.014660606949127693
253,Angelika Sigl,80135631,1,0.014660606949127693
254,Angelina Jolie,80067522,1,0.014660606949127693
