,show_id,type,title,director,director_num,cast,cast_num,country,country_num,date_added,weekday_added,day_added,month_added,year_added,release_year,rating,duration,season,serial,listed_in,listed_in_num
0,247747,Movie,Amar Akbar Anthony,Manmohan Desai,1,"Vinod Khanna, Rishi Kapoor, Amitabh Bachchan, Neetu Singh, Parveen Babi, Shabana Azmi, Nirupa Roy, Pran",8,India,1,"December 31, 2019",Tuesday,31,12,2019,1977,TV-14,172,0,0,"Action & Adventure, Classic Movies, Comedies",3
1,269880,Movie,Bad Boys,Michael Bay,1,"Will Smith, Martin Lawrence, Téa Leoni, Tchéky Karyo, Theresa Randle, Joe Pantoliano, Emmanuel Xuereb, Michael Imperioli, Nestor Serrano, Julio Oscar Mechoso",10,United States,1,"October 1, 2019",Tuesday,1,10,2019,1995,R,119,0,0,"Action & Adventure, Comedies",2
2,281550,Movie,La Bamba,Luis Valdez,1,"Lou Diamond Phillips, Esai Morales, Rosanna DeSoto, Elizabeth Peña, Danielle von Zerneck, Joe Pantoliano, Rick Dees, Marshall Crenshaw, Howard Huntsberry, Brian Setzer",10,United States,1,"January 1, 2020",Wednesday,1,1,2020,1987,PG-13,109,0,0,"Classic Movies, Dramas, Music & Musicals",3
3,284890,Movie,Barsaat,Rajkumar Santoshi,1,"Twinkle Khanna, Bobby Deol, Danny Denzongpa, Raj Babbar, Ashwin Kaushal, Mukesh Khanna, Harish Patel",7,India,1,"April 1, 2018",Sunday,1,4,2018,1995,TV-PG,166,0,0,"Action & Adventure, International Movies, Music & Musicals",3
4,292118,Movie,Beavis and Butt-head Do America,Mike Judge,1,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",11,United States,1,"November 20, 2019",Wednesday,20,11,2019,1996,PG-13,81,0,0,"Comedies, Cult Movies",2
5,296682,Movie,Benji,Joe Camp,1,"Benji, Deborah Walley, Peter Breck, Edgar Buchanan, Terry Carter, Christopher Connelly",6,United States,1,"March 6, 2018",Tuesday,6,3,2018,1974,G,86,0,0,"Children & Family Movies, Classic Movies",2
6,347365,Movie,Candyman,Bernard Rose,1,"Virginia Madsen, Tony Todd, Xander Berkeley, Kasi Lemmons, Vanessa Williams, DeJuan Guy, Michael Culkin, Stanley DeSantis",8,"United States, United Kingdom",2,"October 1, 2019",Tuesday,1,10,2019,1992,R,99,0,0,"Cult Movies, Horror Movies",2
7,352989,Movie,Carrie,Brian De Palma,1,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North",15,United States,1,"June 1, 2019",Saturday,1,6,2019,1976,R,98,0,0,"Classic Movies, Cult Movies, Horror Movies",3
8,372195,Movie,Child's Play,Tom Holland,1,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder",10,United States,1,"December 31, 2019",Tuesday,31,12,2019,1988,R,87,0,0,"Cult Movies, Horror Movies",2
9,374651,Movie,Chitty Chitty Bang Bang,Ken Hughes,1,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin",15,"United Kingdom, United States",2,"January 1, 2020",Wednesday,1,1,2020,1968,G,146,0,0,"Children & Family Movies, Classic Movies, Comedies",3
10,382650,Movie,Cleopatra Jones,Jack Starrett,1,"Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters",5,United States,1,"November 1, 2019",Friday,1,11,2019,1973,PG,89,0,0,"Action & Adventure, Classic Movies",2
11,404067,Movie,The Craft,Andrew Fleming,1,"Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True, Skeet Ulrich, Christine Taylor, Breckin Meyer, Nathaniel Marston, Cliff De Young, Assumpta Serna",10,United States,1,"January 1, 2020",Wednesday,1,1,2020,1996,R,101,0,0,"Horror Movies, Thrillers",2
12,408911,Movie,The Crow,Alex Proyas,1,"Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito",13,United States,1,"January 1, 2019",Tuesday,1,1,2019,1994,R,102,0,0,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",3
13,419733,Movie,The Dark Crystal,"Frank Oz, Jim Henson",2,"Jim Henson, Kathryn Mullen, Frank Oz, Dave Goelz, Stephen Garlick, Lisa Maxwell, Billie Whitelaw, Percy Edwards, Joseph O'Conor",9,"United States, United Kingdom",2,"May 1, 2019",Wednesday,1,5,2019,1982,PG,93,0,0,Children & Family Movies,1
14,449931,Movie,Doctor Zhivago,David Lean,1,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness, Tom Courtenay, Siobhan McKenna, Ralph Richardson, Jeffrey Rockland",9,"United States, Italy, United Kingdom, Liechtenstein",4,"November 1, 2019",Friday,1,11,2019,1965,PG-13,200,0,0,"Classic Movies, Dramas, Romantic Movies",3
