id,name,show_id,count,percent,director_id
1,2 Chainz,80145087,1,0.002228114346828279,"80150390,81155784"
2,4Minute,80161826,1,0.002228114346828279,80158479
3,50 Cent,"70098605,70199239,80013712",3,0.006684343040484838,"81016194,81072516,81075235"
4,A Boogie Wit tha Hoodie,80145087,1,0.002228114346828279,81074367
5,A-ra Go,80214013,1,0.002228114346828279,70153553
6,A. Murat Özgen,81043541,1,0.002228114346828279,70087087
7,A.C. Peterson,81090899,1,0.002228114346828279,"70176968,81005364"
8,A.D. Miles,"60021299,80039813,80117800",3,0.006684343040484838,80161232
9,A.J. Cook,"60026114,70153390",2,0.004456228693656558,81005561
10,A.J. LoCascio,"80049870,80075595,80141858",3,0.006684343040484838,80070182
11,A.K. Hangal,"17969262,60003405,70065769,81221914",4,0.008912457387313116,80190449
12,A.R. Rahman,80216270,1,0.002228114346828279,80064273
13,A.S. Sasi Kumar,81063743,1,0.002228114346828279,80144141
14,AFRA,80174974,1,0.002228114346828279,80238299
15,AJ Bowen,80106440,1,0.002228114346828279,80208908
16,AJ Michalka,80179762,1,0.002228114346828279,"70021551,70096752,70229046,70229498,80079229"
17,AJ Rivera,80236236,1,0.002228114346828279,70089214
18,Aabhas Yadav,80169554,1,0.002228114346828279,81016247
19,Aachal Munjal,70150437,1,0.002228114346828279,70275600
20,Aadarsh Balakrishna,"70048905,81025088",2,0.004456228693656558,81035853
21,Aadhi,81045069,1,0.002228114346828279,81048551
22,Aaditi Pohankar,81063480,1,0.002228114346828279,80044566
23,Aaditya Pratap Singh,80218784,1,0.002228114346828279,80164904
24,Aadukalam Naren,81057246,1,0.002228114346828279,81131274
25,Aadya Bedi,81077451,1,0.002228114346828279,80108386
26,Aahana Kumra,80122232,1,0.002228114346828279,"70152959,70181734,80159955"
27,Aakarshan Singh,80121873,1,0.002228114346828279,80118002
28,Aakash Dabhade,"70236587,70295762,81154455",3,0.006684343040484838,"70110883,70254346,80099083"
29,Aakash Pandey,70125935,1,0.002228114346828279,81213882
30,Aamina Sheikh,81110389,1,0.002228114346828279,"80023853,81005453,81213894"
31,Aamir Ahmed,80201823,1,0.002228114346828279,70303426
32,Aamir Bashir,"70056686,70107499,70129396,80990815",4,0.008912457387313116,81043190
33,Aamir Khan,"17457962,20258084,60020906,60021525,70047320,70087087,70121522,70144331,70262614,70303496,80057585,80166185,80229953,80245408",14,0.03119360085559591,80065754
34,Aamir Qureshi,81110388,1,0.002228114346828279,80998786
35,Aanand Kale,81002215,1,0.002228114346828279,"80158800,81218074"
36,Aanchal Munjal,81038046,1,0.002228114346828279,81026667
37,Aarav Khanna,70139072,1,0.002228114346828279,80191930
38,Aarif Rahman,80170301,1,0.002228114346828279,81037273
39,Aarjav Trivedi,80238637,1,0.002228114346828279,81014345
40,Aarna Sharma,80996338,1,0.002228114346828279,70306701
41,Aarohi Patel,80990811,1,0.002228114346828279,80043049
42,Aaron Abrams,"70098902,80198661",2,0.004456228693656558,80096585
43,Aaron Blakely,80168167,1,0.002228114346828279,80117736
44,Aaron Burns,70293315,1,0.002228114346828279,80146759
45,Aaron Carpenter,80116839,1,0.002228114346828279,80018336
46,Aaron Chen,81072807,1,0.002228114346828279,81061410
47,Aaron D. Spears,80004462,1,0.002228114346828279,70093991
48,Aaron Dismuke,80006149,1,0.002228114346828279,80064273
49,Aaron Douglas,"70242310,80150242",2,0.004456228693656558,80115102
50,Aaron Dugger,60034929,1,0.002228114346828279,80099016
51,Aaron Eckhart,"70058017,70120340,70252885,70259801",4,0.008912457387313116,80173625
52,Aaron Eisenberg,81214214,1,0.002228114346828279,"70065096,70100381"
53,Aaron Farb,81061410,1,0.002228114346828279,80154179
54,Aaron Hale,80238357,1,0.002228114346828279,80057509
55,Aaron Hernandez,81062828,1,0.002228114346828279,80122759
56,Aaron Himelstein,"70074100,80174608",2,0.004456228693656558,70130483
57,Aaron Jakubenko,"80084164,80096545,80191239",3,0.006684343040484838,80188777
58,Aaron Jeffery,"60000545,80013249,80220085,80222177",4,0.008912457387313116,81028574
59,Aaron Keogh,80220531,1,0.002228114346828279,81016044
60,Aaron Kwok,80997857,1,0.002228114346828279,"81002213,81095399"
61,Aaron L. McGrath,80108495,1,0.002228114346828279,"80238400,81113926"
62,Aaron Marsden,"80176872,80177684",2,0.004456228693656558,81038047
63,Aaron Marshall,80097389,1,0.002228114346828279,80220531
64,Aaron Martin,80105452,1,0.002228114346828279,81031178
65,Aaron McCusker,"80202352,81053958",2,0.004456228693656558,80245408
