show_id,type,title,director,director_num,cast,cast_num,country,country_num,date_added,weekday_added,day_added,month_added,year_added,release_year,rating,duration,season,serial,listed_in,listed_in_num
1029730,Movie,Teenage Mutant Ninja Turtles: The Movie,Steve Barron,1,"Judith Hoag, Elias Koteas, Josh Pais, Michelan Sisti, Leif Tilden, David Forman, Michael Turney, Jay Patterson, Raymond Serra, James Saito, Kevin Clash",11,,,"January 1, 2020",Wednesday,1,1,2020,1990,PG,94,0,0,"Action & Adventure, Comedies",2
1064058,Movie,Tremors 2: Aftershocks,S.S. Wilson,1,"Fred Ward, Chris Gartin, Helen Shaver, Michael Gross, Marcelo Tubert, Marco Hernandez, José Ramón Rosario, Thomas Rosales Jr.",8,,,"January 1, 2020",Wednesday,1,1,2020,1995,PG-13,100,0,0,"Comedies, Horror Movies, Sci-Fi & Fantasy",3
22497725,Movie,National Lampoon's Loaded Weapon 1,Gene Quintano,1,"Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry, Kathy Ireland, Frank McRae, William Shatner, Dhiru Shah, Gokul, Thomas Bruggemann",10,,,"November 1, 2019",Friday,1,11,2019,1993,PG-13,82,0,0,"Action & Adventure, Comedies, Independent Movies",3
60001407,Movie,Jis Desh Men Ganga Behti Hai,Radhu Karmakar,1,"Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee",10,,,"December 31, 2019",Tuesday,31,12,2019,1960,TV-14,181,0,0,"Action & Adventure, Dramas, International Movies",3
60001808,Movie,The Naked Gun 2 1/2: The Smell of Fear,David Zucker,1,"Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Robert Goulet, Richard Griffiths, Jacqueline Brookes",7,,,"January 1, 2020",Wednesday,1,1,2020,1991,PG-13,85,0,0,Comedies,1
60022041,Movie,Tom and Jerry: The Magic Ring,Phil Roman,1,"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor, Henry Gibson",6,,,"December 15, 2019",Sunday,15,12,2019,2001,TV-Y7,60,0,0,"Children & Family Movies, Comedies",2
60027945,Movie,Prelude to War,Frank Capra,1,,,United States,1,"March 31, 2017",Friday,31,3,2017,1942,TV-PG,52,0,0,"Classic Movies, Documentaries",2
60034116,Movie,3 Deewarein,Nagesh Kukunoor,1,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",7,,,"December 31, 2019",Tuesday,31,12,2019,2003,TV-MA,121,0,0,"Dramas, International Movies, Thrillers",3
60036691,Movie,Paris Is Burning,Jennie Livingston,1,,,United States,1,"February 1, 2017",Wednesday,1,2,2017,1990,R,77,0,0,"Classic Movies, Cult Movies, Documentaries",3
60036794,TV Show,Sonic X,,,"Suzanne Goldish, Dan Green, Jason Anthony Griffith, Rebecca Honig, Lisa Ortiz, Amy Palant, Mike Pollock, Jack Quevas",8,Japan,1,"December 1, 2019",Sunday,1,12,2019,2004,TV-Y7,,4,1,"Anime Series, Kids' TV",2
